Date,Open,High,Low,Close,Volume,Adj Close
11/21/14,244.449997,245.949997,241.710007,245.300003,3740400,245.300003
11/24/14,247.759995,247.869995,240.809998,243.910004,2430000,243.910004
11/25/14,244.279999,245.889999,242.070007,244.339996,1868800,244.339996
11/26/14,244.970001,248.740005,243.289993,246.029999,2920700,246.029999
11/28/14,246.990005,247.339996,242.949997,245.110001,1339900,245.110001
12/1/14,242,242,233.600006,236.610001,4202200,236.610001
12/2/14,237.039993,238.740005,232.880005,234.740005,2564100,234.740005
12/3/14,234.850006,235.720001,230.429993,231.289993,3095400,231.289993
12/4/14,232.190002,234.699997,229.929993,230.809998,2483400,230.809998
12/5/14,230.889999,232.960007,227.899994,232.720001,2887300,232.720001
12/8/14,230.110001,231.059998,222.600006,227.669998,4457600,227.669998
12/9/14,222.009995,231.330002,217.5,229.899994,2992300,229.899994
12/10/14,229.570007,229.820007,224.100006,225.119995,2246400,225.119995
12/11/14,226.100006,233.740005,226.050003,229.229996,3037700,229.229996
12/12/14,225.889999,233.690002,225.160004,229.320007,2553100,229.320007
12/15/14,229.990005,232.869995,224.800003,225.809998,2411800,225.809998
12/16/14,223.639999,226.350006,219,219.960007,3996100,219.960007
12/17/14,221.210007,225.419998,218,223.850006,3008000,223.850006
12/18/14,228.690002,233.25,228.520004,231.880005,2765600,231.880005
12/19/14,232.559998,236.300003,230.600006,234.229996,3046300,234.229996
12/22/14,235.470001,236.979996,233.899994,234.600006,1661700,234.600006
12/23/14,234.449997,236.779999,233.080002,233.160004,1681100,233.160004
12/24/14,233,233.660004,230.75,230.979996,944800,230.979996
12/26/14,232.029999,237.429993,231.309998,234.880005,1619300,234.880005
12/29/14,233.210007,234.800003,229,230.210007,2214000,230.210007
12/30/14,228.520004,231.199997,227.830002,230.009995,1546300,230.009995
12/31/14,229.779999,231,227.130005,227.970001,1925200,227.970001
1/2/15,229.460007,230.449997,221.490005,223.080002,3490000,223.080002
1/5/15,222.880005,224.830002,218.350006,219.789993,2744000,219.789993
1/6/15,220.889999,222.869995,216.020004,220.179993,3231400,220.179993
1/7/15,222.419998,227,221.020004,224.350006,2280700,224.350006
1/8/15,227.050003,232.139999,224.729996,229.210007,2642100,229.210007
1/9/15,230.130005,232.990005,226.850006,226.899994,2310800,226.899994
1/12/15,226.100006,226.5,220,220.889999,3177700,220.889999
1/13/15,223.610001,224.5,218,219.600006,2868800,219.600006
1/14/15,217.339996,219.949997,214,216.820007,2535400,216.820007
1/15/15,218.479996,219.5,215,215.970001,2342100,215.970001
1/16/15,220,222,216.419998,220.199997,4035700,220.199997
1/20/15,222.020004,223.850006,217.009995,220.360001,2551500,220.360001
1/21/15,220.820007,228.940002,220.059998,228.279999,3536900,228.279999
1/22/15,230,230.509995,224.899994,229.880005,3339100,229.880005
1/23/15,229.199997,234.669998,228.600006,233.330002,2808300,233.330002
1/26/15,234.490005,234.5,228.110001,229.460007,2416900,229.460007
1/27/15,227.199997,229.169998,223.520004,227.529999,2819300,227.529999
1/28/15,227.809998,229.399994,220,220.309998,3000400,220.309998
1/29/15,218.240005,221.160004,212.820007,220.389999,3156800,220.389999
1/30/15,218.990005,221.520004,217.289993,217.919998,2086200,217.919998
2/2/15,218.770004,219.949997,213.25,217.600006,2390900,217.600006
2/3/15,218.059998,219.360001,215.25,217.160004,2724200,217.160004
2/4/15,216.970001,219.929993,216,217.240005,2721700,217.240005
2/5/15,217.350006,219.190002,216,216.800003,1988100,216.800003
2/6/15,217.259995,217.5,211.380005,211.779999,2964400,211.779999
2/9/15,211,215.350006,210.850006,215.029999,3381000,215.029999
2/10/15,217.779999,220.830002,215.699997,219.440002,3580400,219.440002
2/11/15,219.679993,219.889999,214.029999,214.669998,6944000,214.669998
2/12/15,203.800003,206.970001,199.699997,205.020004,14190600,205.020004
2/13/15,207.449997,216.690002,207.25,212.130005,7793700,212.130005
2/17/15,213.740005,213.740005,206.479996,208.809998,4500600,208.809998
2/18/15,208.149994,210.029999,206.570007,207.149994,2741800,207.149994
2/19/15,207.399994,208.759995,206.509995,207.240005,1706100,207.240005
2/20/15,208.229996,210.169998,207.320007,209.630005,2192100,209.630005
2/23/15,209.399994,211,205.539993,206.429993,3183300,206.429993
2/24/15,206.529999,209,205.179993,208.059998,2001100,208.059998
2/25/15,208.830002,209.770004,202.699997,203.529999,2896000,203.529999
2/26/15,204.75,206.630005,203.529999,205.880005,2721900,205.880005
2/27/15,205.5,207.460007,202.600006,203.75,2399000,203.75
3/2/15,204.190002,205.520004,202.199997,205.039993,2022500,205.039993
3/3/15,204.5,207.399994,204.5,206.339996,2317200,206.339996
3/4/15,205.199997,208.419998,205.029999,207.690002,1700400,207.690002
3/5/15,207.75,214.570007,207.210007,214.229996,3826400,214.229996
3/6/15,215.100006,217.850006,212.710007,213.309998,3176400,213.309998
3/9/15,212,212.710007,209.350006,211.619995,1742000,211.619995
3/10/15,209.880005,212.869995,209,210.389999,1880100,210.389999
3/11/15,210.169998,210.529999,204,204.380005,3076500,204.380005
3/12/15,205.699997,206.770004,202.5,203.389999,2221900,203.389999
3/13/15,203.399994,205.630005,202.5,204.449997,1554500,204.449997
